season,team_id,team_name,organization_id,franchise_slot_id,nickname,player_key_raw,player_key,player_id,role_raw,role,member_type,observed_at,valid_from,valid_to,temporal_basis,source_url
18,RRQ,RRQ Hoshi,RRQ,MPLID_SLOT_RRQ,HAJIRIN,hajirin,hajirin,PLY_HAJIRIN_CA23E06A,Mid Lane,mid_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/rrq
18,RRQ,RRQ Hoshi,RRQ,MPLID_SLOT_RRQ,JOSHUA,joshua,joshua,PLY_JOSHUA_FC52FABE,EXP Lane,exp_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/rrq
18,RRQ,RRQ Hoshi,RRQ,MPLID_SLOT_RRQ,SAID,said,said,PLY_SAID_FB46C79B,Roam,roamer,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/rrq
18,RRQ,RRQ Hoshi,RRQ,MPLID_SLOT_RRQ,COACH ADI,coachadi,coachadi,PLY_COACHADI_A733F445,Coach,coach,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/rrq
18,RRQ,RRQ Hoshi,RRQ,MPLID_SLOT_RRQ,COACH KAYLEB,coachkayleb,coachkayleb,PLY_COACHKAYLEB_C01CBD4F,Asst. Coach,assistant_coach,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/rrq
18,TLID,Team Liquid ID,TLID,MPLID_SLOT_AURA_LIQUID,ANAVER,anaver,anaver,PLY_ANAVER_009BF36C,Mid Lane,mid_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/tlid
18,TLID,Team Liquid ID,TLID,MPLID_SLOT_AURA_LIQUID,ARAN,aran,aran,PLY_ARAN_52189CE6,EXP Lane,exp_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/tlid
18,TLID,Team Liquid ID,TLID,MPLID_SLOT_AURA_LIQUID,DRICHEL,drichel,drichel,PLY_DRICHEL_801A413E,Midlane,mid_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/tlid
18,TLID,Team Liquid ID,TLID,MPLID_SLOT_AURA_LIQUID,KEVEN,keven,keven,PLY_KEVEN_31D3E000,Gold Lane,gold_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/tlid
18,TLID,Team Liquid ID,TLID,MPLID_SLOT_AURA_LIQUID,KEVIN,kevin,kevin,PLY_KEVIN_85F5E104,Jungle,jungler,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/tlid
18,TLID,Team Liquid ID,TLID,MPLID_SLOT_AURA_LIQUID,LYONI,lyoni,lyoni,PLY_LYONI_11414EEA,Roam,roamer,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/tlid
18,TLID,Team Liquid ID,TLID,MPLID_SLOT_AURA_LIQUID,FACEHUGGER,facehugger,facehugger,PLY_FACEHUGGER_FBBB7F99,Analyst,analyst,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/tlid
18,TLID,Team Liquid ID,TLID,MPLID_SLOT_AURA_LIQUID,HONJAW,honjaw,honjaw,PLY_HONJAW_62655290,Coach,coach,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/tlid
18,TLID,Team Liquid ID,TLID,MPLID_SLOT_AURA_LIQUID,PAHLEVI,pahlevi,pahlevi,PLY_PAHLEVI_7AE596DB,Asst. Coach,assistant_coach,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/tlid
